feedback_id,customer_id,feedback_type,category,channel,subject,description,submitted_date,resolution_status,resolution_date,assigned_to,priority,satisfaction_score,response_time_hours,created_at
PMLA-FB000093-SYN,PMLA-C000329-SYN,COMPLAINT,MOBILE_APP,MAIL,RE: Complaint - Case #69920,Synthetic feedback description for testing. Type: COMPLAINT. Category: BRANCH_SERVICE.,2024-03-30,ESCALATED,,Agent_481,HIGH,,14,2026-01-10 21:04:43
PMLA-FB000094-SYN,PMLA-C000646-SYN,INQUIRY,FRAUD,SOCIAL_MEDIA,RE: Inquiry - Case #83380,Synthetic feedback description for testing. Type: INQUIRY. Category: ONLINE_BANKING.,2023-01-19,RESOLVED,2023-01-30,Agent_305,MEDIUM,3,65,2026-01-10 21:04:43
PMLA-FB000095-SYN,PMLA-C001392-SYN,INQUIRY,BRANCH_SERVICE,MAIL,RE: Inquiry - Case #42223,Synthetic feedback description for testing. Type: INQUIRY. Category: BRANCH_SERVICE.,2024-08-23,RESOLVED,2024-09-03,Agent_946,LOW,1,48,2026-01-10 21:04:43
PMLA-FB000096-SYN,PMLA-C000516-SYN,INQUIRY,OTHER,CHAT,RE: Inquiry - Case #20267,Synthetic feedback description for testing. Type: INQUIRY. Category: BRANCH_SERVICE.,2023-02-09,PENDING,,Agent_478,MEDIUM,,16,2026-01-10 21:04:43
PMLA-FB000097-SYN,PMLA-C000399-SYN,PRAISE,FRAUD,EMAIL,RE: Praise - Case #13111,Synthetic feedback description for testing. Type: PRAISE. Category: OTHER.,2023-07-05,RESOLVED,2023-07-26,Agent_765,MEDIUM,5,51,2026-01-10 21:04:43
PMLA-FB000098-SYN,PMLA-C000697-SYN,PRAISE,FEES_CHARGES,BRANCH,RE: Praise - Case #91503,Synthetic feedback description for testing. Type: PRAISE. Category: MOBILE_APP.,2024-02-05,PENDING,,Agent_418,MEDIUM,,42,2026-01-10 21:04:43
PMLA-FB000099-SYN,PMLA-C000414-SYN,SUGGESTION,ACCOUNT_SERVICE,EMAIL,RE: Suggestion - Case #74639,Synthetic feedback description for testing. Type: SUGGESTION. Category: MOBILE_APP.,2023-06-01,RESOLVED,2023-06-10,Agent_991,LOW,3,54,2026-01-10 21:04:43
PMLA-FB000100-SYN,PMLA-C000625-SYN,PRAISE,LOAN_SERVICE,SOCIAL_MEDIA,RE: Praise - Case #85800,Synthetic feedback description for testing. Type: PRAISE. Category: ACCOUNT_SERVICE.,2023-12-22,ESCALATED,,Agent_157,LOW,,28,2026-01-10 21:04:43
PMLA-FB000101-SYN,PMLA-C000692-SYN,COMPLAINT,FRAUD,PHONE,RE: Complaint - Case #69329,Synthetic feedback description for testing. Type: COMPLAINT. Category: MOBILE_APP.,2024-10-10,RESOLVED,2024-10-12,Agent_602,LOW,4,38,2026-01-10 21:04:43
PMLA-FB000102-SYN,PMLA-C001383-SYN,PRAISE,OTHER,BRANCH,RE: Praise - Case #14242,Synthetic feedback description for testing. Type: PRAISE. Category: MOBILE_APP.,2023-07-18,RESOLVED,2023-08-04,Agent_772,HIGH,2,60,2026-01-10 21:04:43
PMLA-FB000103-SYN,PMLA-C000065-SYN,COMPLAINT,OTHER,SOCIAL_MEDIA,RE: Complaint - Case #57805,Synthetic feedback description for testing. Type: COMPLAINT. Category: ACCOUNT_SERVICE.,2024-05-18,RESOLVED,2024-05-30,Agent_164,MEDIUM,2,13,2026-01-10 21:04:43
PMLA-FB000104-SYN,PMLA-C000331-SYN,PRAISE,LOAN_SERVICE,EMAIL,RE: Praise - Case #84589,Synthetic feedback description for testing. Type: PRAISE. Category: ONLINE_BANKING.,2023-07-26,RESOLVED,2023-08-25,Agent_673,HIGH,1,38,2026-01-10 21:04:43
PMLA-FB000105-SYN,PMLA-C000635-SYN,SUGGESTION,OTHER,SOCIAL_MEDIA,RE: Suggestion - Case #52427,Synthetic feedback description for testing. Type: SUGGESTION. Category: ACCOUNT_SERVICE.,2024-10-12,RESOLVED,2024-10-23,Agent_618,MEDIUM,2,36,2026-01-10 21:04:43
PMLA-FB000106-SYN,PMLA-C000850-SYN,SUGGESTION,ONLINE_BANKING,CHAT,RE: Suggestion - Case #13408,Synthetic feedback description for testing. Type: SUGGESTION. Category: LOAN_SERVICE.,2024-03-23,ESCALATED,,Agent_758,HIGH,,72,2026-01-10 21:04:43
PMLA-FB000107-SYN,PMLA-C001271-SYN,SUGGESTION,FEES_CHARGES,PHONE,RE: Suggestion - Case #98261,Synthetic feedback description for testing. Type: SUGGESTION. Category: ACCOUNT_SERVICE.,2024-05-27,RESOLVED,2024-06-03,Agent_688,MEDIUM,5,65,2026-01-10 21:04:43
PMLA-FB000108-SYN,PMLA-C001103-SYN,INQUIRY,FRAUD,MAIL,RE: Inquiry - Case #95791,Synthetic feedback description for testing. Type: INQUIRY. Category: MOBILE_APP.,2024-10-12,PENDING,,Agent_262,HIGH,,70,2026-01-10 21:04:43
PMLA-FB000109-SYN,PMLA-C000230-SYN,SUGGESTION,LOAN_SERVICE,BRANCH,RE: Suggestion - Case #53630,Synthetic feedback description for testing. Type: SUGGESTION. Category: FRAUD.,2023-02-02,RESOLVED,2023-02-12,Agent_986,MEDIUM,4,51,2026-01-10 21:04:43
PMLA-FB000110-SYN,PMLA-C000562-SYN,SUGGESTION,ONLINE_BANKING,PHONE,RE: Suggestion - Case #65924,Synthetic feedback description for testing. Type: SUGGESTION. Category: FRAUD.,2023-01-05,RESOLVED,2023-01-16,Agent_751,MEDIUM,1,26,2026-01-10 21:04:43
PMLA-FB000111-SYN,PMLA-C000382-SYN,PRAISE,MOBILE_APP,CHAT,RE: Praise - Case #39061,Synthetic feedback description for testing. Type: PRAISE. Category: BRANCH_SERVICE.,2024-01-20,RESOLVED,2024-02-14,Agent_668,CRITICAL,4,51,2026-01-10 21:04:43
PMLA-FB000112-SYN,PMLA-C000380-SYN,INQUIRY,FEES_CHARGES,SOCIAL_MEDIA,RE: Inquiry - Case #35901,Synthetic feedback description for testing. Type: INQUIRY. Category: FEES_CHARGES.,2023-07-12,RESOLVED,2023-08-09,Agent_426,MEDIUM,4,44,2026-01-10 21:04:43
PMLA-FB000113-SYN,PMLA-C001292-SYN,COMPLAINT,BRANCH_SERVICE,EMAIL,RE: Complaint - Case #39755,Synthetic feedback description for testing. Type: COMPLAINT. Category: CARD_SERVICE.,2024-06-30,RESOLVED,2024-07-01,Agent_235,MEDIUM,1,58,2026-01-10 21:04:43
PMLA-FB000114-SYN,PMLA-C001332-SYN,SUGGESTION,ACCOUNT_SERVICE,EMAIL,RE: Suggestion - Case #37040,Synthetic feedback description for testing. Type: SUGGESTION. Category: BRANCH_SERVICE.,2024-05-17,RESOLVED,2024-05-26,Agent_470,MEDIUM,2,51,2026-01-10 21:04:43
PMLA-FB000115-SYN,PMLA-C000814-SYN,PRAISE,BRANCH_SERVICE,SOCIAL_MEDIA,RE: Praise - Case #19661,Synthetic feedback description for testing. Type: PRAISE. Category: BRANCH_SERVICE.,2023-12-04,RESOLVED,2023-12-18,Agent_585,MEDIUM,4,13,2026-01-10 21:04:43
PMLA-FB000116-SYN,PMLA-C000380-SYN,COMPLAINT,ACCOUNT_SERVICE,PHONE,RE: Complaint - Case #92705,Synthetic feedback description for testing. Type: COMPLAINT. Category: OTHER.,2023-12-18,PENDING,,Agent_430,MEDIUM,,25,2026-01-10 21:04:43
PMLA-FB000117-SYN,PMLA-C001062-SYN,COMPLAINT,ACCOUNT_SERVICE,CHAT,RE: Complaint - Case #22933,Synthetic feedback description for testing. Type: COMPLAINT. Category: FEES_CHARGES.,2023-07-20,CLOSED_NO_ACTION,2023-07-29,Agent_238,LOW,,36,2026-01-10 21:04:43
PMLA-FB000118-SYN,PMLA-C001285-SYN,COMPLAINT,BRANCH_SERVICE,EMAIL,RE: Complaint - Case #29584,Synthetic feedback description for testing. Type: COMPLAINT. Category: OTHER.,2023-05-08,PENDING,,Agent_488,LOW,,24,2026-01-10 21:04:43
PMLA-FB000119-SYN,PMLA-C000417-SYN,COMPLAINT,OTHER,SOCIAL_MEDIA,RE: Complaint - Case #48620,Synthetic feedback description for testing. Type: COMPLAINT. Category: BRANCH_SERVICE.,2023-10-22,RESOLVED,2023-11-05,Agent_559,MEDIUM,3,52,2026-01-10 21:04:43
PMLA-FB000120-SYN,PMLA-C001471-SYN,SUGGESTION,FEES_CHARGES,CHAT,RE: Suggestion - Case #39807,Synthetic feedback description for testing. Type: SUGGESTION. Category: FRAUD.,2024-06-03,PENDING,,Agent_734,LOW,,28,2026-01-10 21:04:43
PMLA-FB000121-SYN,PMLA-C000884-SYN,SUGGESTION,FRAUD,BRANCH,RE: Suggestion - Case #14131,Synthetic feedback description for testing. Type: SUGGESTION. Category: BRANCH_SERVICE.,2024-04-05,RESOLVED,2024-05-03,Agent_369,MEDIUM,3,35,2026-01-10 21:04:43
PMLA-FB000122-SYN,PMLA-C000887-SYN,COMPLAINT,MOBILE_APP,SOCIAL_MEDIA,RE: Complaint - Case #77384,Synthetic feedback description for testing. Type: COMPLAINT. Category: ONLINE_BANKING.,2023-05-04,RESOLVED,2023-05-29,Agent_373,MEDIUM,3,46,2026-01-10 21:04:43
PMLA-FB000123-SYN,PMLA-C000876-SYN,PRAISE,ACCOUNT_SERVICE,SOCIAL_MEDIA,RE: Praise - Case #77846,Synthetic feedback description for testing. Type: PRAISE. Category: FRAUD.,2024-01-13,RESOLVED,2024-01-26,Agent_470,MEDIUM,1,38,2026-01-10 21:04:43
PMLA-FB000124-SYN,PMLA-C001034-SYN,PRAISE,MOBILE_APP,SOCIAL_MEDIA,RE: Praise - Case #97629,Synthetic feedback description for testing. Type: PRAISE. Category: FRAUD.,2023-01-03,RESOLVED,2023-01-23,Agent_166,LOW,3,1,2026-01-10 21:04:43
PMLA-FB000125-SYN,PMLA-C000317-SYN,COMPLAINT,BRANCH_SERVICE,CHAT,RE: Complaint - Case #85008,Synthetic feedback description for testing. Type: COMPLAINT. Category: MOBILE_APP.,2024-06-13,RESOLVED,2024-07-13,Agent_808,LOW,5,17,2026-01-10 21:04:43
PMLA-FB000126-SYN,PMLA-C000600-SYN,COMPLAINT,FRAUD,EMAIL,RE: Complaint - Case #55292,Synthetic feedback description for testing. Type: COMPLAINT. Category: LOAN_SERVICE.,2023-11-19,ESCALATED,,Agent_954,HIGH,,72,2026-01-10 21:04:43
PMLA-FB000127-SYN,PMLA-C000294-SYN,PRAISE,OTHER,EMAIL,RE: Praise - Case #46231,Synthetic feedback description for testing. Type: PRAISE. Category: FRAUD.,2024-08-11,RESOLVED,2024-08-24,Agent_814,MEDIUM,3,67,2026-01-10 21:04:43
PMLA-FB000128-SYN,PMLA-C000186-SYN,COMPLAINT,BRANCH_SERVICE,MAIL,RE: Complaint - Case #34552,Synthetic feedback description for testing. Type: COMPLAINT. Category: LOAN_SERVICE.,2023-03-23,RESOLVED,2023-04-21,Agent_795,MEDIUM,2,35,2026-01-10 21:04:43
PMLA-FB000129-SYN,PMLA-C000974-SYN,INQUIRY,BRANCH_SERVICE,EMAIL,RE: Inquiry - Case #40622,Synthetic feedback description for testing. Type: INQUIRY. Category: ONLINE_BANKING.,2024-07-04,PENDING,,Agent_378,MEDIUM,,45,2026-01-10 21:04:43
PMLA-FB000130-SYN,PMLA-C000474-SYN,SUGGESTION,FEES_CHARGES,PHONE,RE: Suggestion - Case #72600,Synthetic feedback description for testing. Type: SUGGESTION. Category: BRANCH_SERVICE.,2024-08-18,RESOLVED,2024-09-06,Agent_411,MEDIUM,2,15,2026-01-10 21:04:43
PMLA-FB000131-SYN,PMLA-C000669-SYN,PRAISE,BRANCH_SERVICE,BRANCH,RE: Praise - Case #68083,Synthetic feedback description for testing. Type: PRAISE. Category: CARD_SERVICE.,2023-06-10,PENDING,,Agent_963,MEDIUM,,41,2026-01-10 21:04:43
PMLA-FB000132-SYN,PMLA-C001430-SYN,SUGGESTION,MOBILE_APP,MAIL,RE: Suggestion - Case #17763,Synthetic feedback description for testing. Type: SUGGESTION. Category: MOBILE_APP.,2024-01-09,RESOLVED,2024-02-02,Agent_786,LOW,2,15,2026-01-10 21:04:43
PMLA-FB000133-SYN,PMLA-C000701-SYN,COMPLAINT,BRANCH_SERVICE,EMAIL,RE: Complaint - Case #50058,Synthetic feedback description for testing. Type: COMPLAINT. Category: OTHER.,2024-10-26,RESOLVED,2024-11-15,Agent_277,CRITICAL,3,66,2026-01-10 21:04:43
PMLA-FB000134-SYN,PMLA-C000696-SYN,PRAISE,MOBILE_APP,SOCIAL_MEDIA,RE: Praise - Case #17394,Synthetic feedback description for testing. Type: PRAISE. Category: OTHER.,2024-10-17,PENDING,,Agent_725,MEDIUM,,33,2026-01-10 21:04:43
PMLA-FB000135-SYN,PMLA-C000908-SYN,INQUIRY,LOAN_SERVICE,CHAT,RE: Inquiry - Case #78166,Synthetic feedback description for testing. Type: INQUIRY. Category: ONLINE_BANKING.,2023-08-08,RESOLVED,2023-08-20,Agent_544,MEDIUM,5,48,2026-01-10 21:04:43
PMLA-FB000136-SYN,PMLA-C000820-SYN,PRAISE,FRAUD,EMAIL,RE: Praise - Case #91397,Synthetic feedback description for testing. Type: PRAISE. Category: OTHER.,2024-09-21,RESOLVED,2024-09-27,Agent_135,MEDIUM,3,66,2026-01-10 21:04:43
PMLA-FB000137-SYN,PMLA-C000247-SYN,COMPLAINT,BRANCH_SERVICE,PHONE,RE: Complaint - Case #25363,Synthetic feedback description for testing. Type: COMPLAINT. Category: FRAUD.,2024-02-01,RESOLVED,2024-02-22,Agent_116,LOW,4,42,2026-01-10 21:04:43
PMLA-FB000138-SYN,PMLA-C000702-SYN,COMPLAINT,CARD_SERVICE,BRANCH,RE: Complaint - Case #60067,Synthetic feedback description for testing. Type: COMPLAINT. Category: LOAN_SERVICE.,2023-09-30,RESOLVED,2023-10-23,Agent_548,MEDIUM,3,16,2026-01-10 21:04:43
PMLA-FB000139-SYN,PMLA-C000232-SYN,INQUIRY,ONLINE_BANKING,CHAT,RE: Inquiry - Case #67617,Synthetic feedback description for testing. Type: INQUIRY. Category: LOAN_SERVICE.,2024-05-15,PENDING,,Agent_766,CRITICAL,,2,2026-01-10 21:04:43
PMLA-FB000140-SYN,PMLA-C000234-SYN,SUGGESTION,OTHER,PHONE,RE: Suggestion - Case #83925,Synthetic feedback description for testing. Type: SUGGESTION. Category: ONLINE_BANKING.,2023-01-13,PENDING,,Agent_830,HIGH,,65,2026-01-10 21:04:43
PMLA-FB000141-SYN,PMLA-C000121-SYN,DISPUTE,CARD_SERVICE,BRANCH,RE: Dispute - Case #23665,Synthetic feedback description for testing. Type: DISPUTE. Category: MOBILE_APP.,2024-05-19,RESOLVED,2024-06-11,Agent_566,MEDIUM,1,5,2026-01-10 21:04:43
PMLA-FB000142-SYN,PMLA-C000343-SYN,PRAISE,ONLINE_BANKING,MAIL,RE: Praise - Case #12823,Synthetic feedback description for testing. Type: PRAISE. Category: ONLINE_BANKING.,2024-01-07,RESOLVED,2024-01-08,Agent_208,CRITICAL,3,6,2026-01-10 21:04:43
PMLA-FB000143-SYN,PMLA-C000268-SYN,PRAISE,ONLINE_BANKING,CHAT,RE: Praise - Case #66483,Synthetic feedback description for testing. Type: PRAISE. Category: MOBILE_APP.,2024-01-01,CLOSED_NO_ACTION,2024-01-23,Agent_961,MEDIUM,,44,2026-01-10 21:04:43
PMLA-FB000144-SYN,PMLA-C000530-SYN,COMPLAINT,MOBILE_APP,BRANCH,RE: Complaint - Case #57755,Synthetic feedback description for testing. Type: COMPLAINT. Category: FEES_CHARGES.,2023-04-02,RESOLVED,2023-04-11,Agent_414,LOW,5,13,2026-01-10 21:04:43
PMLA-FB000145-SYN,PMLA-C000837-SYN,DISPUTE,OTHER,PHONE,RE: Dispute - Case #78489,Synthetic feedback description for testing. Type: DISPUTE. Category: MOBILE_APP.,2024-07-19,PENDING,,Agent_306,LOW,,31,2026-01-10 21:04:43
PMLA-FB000146-SYN,PMLA-C000963-SYN,DISPUTE,ACCOUNT_SERVICE,CHAT,RE: Dispute - Case #14634,Synthetic feedback description for testing. Type: DISPUTE. Category: FRAUD.,2024-03-13,ESCALATED,,Agent_911,MEDIUM,,43,2026-01-10 21:04:43
PMLA-FB000147-SYN,PMLA-C000984-SYN,INQUIRY,LOAN_SERVICE,BRANCH,RE: Inquiry - Case #82192,Synthetic feedback description for testing. Type: INQUIRY. Category: LOAN_SERVICE.,2024-06-24,RESOLVED,2024-07-22,Agent_161,MEDIUM,2,21,2026-01-10 21:04:43
PMLA-FB000148-SYN,PMLA-C000285-SYN,COMPLAINT,OTHER,SOCIAL_MEDIA,RE: Complaint - Case #43774,Synthetic feedback description for testing. Type: COMPLAINT. Category: ACCOUNT_SERVICE.,2024-06-30,DUPLICATE,,Agent_174,LOW,,61,2026-01-10 21:04:43
PMLA-FB000149-SYN,PMLA-C001346-SYN,INQUIRY,LOAN_SERVICE,CHAT,RE: Inquiry - Case #28386,Synthetic feedback description for testing. Type: INQUIRY. Category: FRAUD.,2023-05-09,RESOLVED,2023-06-06,Agent_518,HIGH,2,33,2026-01-10 21:04:43
PMLA-FB000150-SYN,PMLA-C000347-SYN,COMPLAINT,LOAN_SERVICE,MAIL,RE: Complaint - Case #68911,Synthetic feedback description for testing. Type: COMPLAINT. Category: BRANCH_SERVICE.,2023-03-20,PENDING,,Agent_832,LOW,,30,2026-01-10 21:04:43
PMLA-FB000151-SYN,PMLA-C001434-SYN,PRAISE,OTHER,PHONE,RE: Praise - Case #65658,Synthetic feedback description for testing. Type: PRAISE. Category: FEES_CHARGES.,2023-11-23,PENDING,,Agent_989,MEDIUM,,60,2026-01-10 21:04:43
PMLA-FB000152-SYN,PMLA-C000562-SYN,COMPLAINT,BRANCH_SERVICE,MAIL,RE: Complaint - Case #38833,Synthetic feedback description for testing. Type: COMPLAINT. Category: MOBILE_APP.,2024-05-05,CLOSED_NO_ACTION,2024-05-16,Agent_416,LOW,,19,2026-01-10 21:04:43
PMLA-FB000153-SYN,PMLA-C001452-SYN,PRAISE,FEES_CHARGES,MAIL,RE: Praise - Case #36269,Synthetic feedback description for testing. Type: PRAISE. Category: LOAN_SERVICE.,2023-07-06,PENDING,,Agent_944,MEDIUM,,10,2026-01-10 21:04:43
PMLA-FB000154-SYN,PMLA-C000888-SYN,COMPLAINT,ONLINE_BANKING,EMAIL,RE: Complaint - Case #23193,Synthetic feedback description for testing. Type: COMPLAINT. Category: FRAUD.,2023-04-06,RESOLVED,2023-04-07,Agent_374,MEDIUM,2,39,2026-01-10 21:04:43
PMLA-FB000155-SYN,PMLA-C001359-SYN,COMPLAINT,CARD_SERVICE,MAIL,RE: Complaint - Case #10000,Synthetic feedback description for testing. Type: COMPLAINT. Category: CARD_SERVICE.,2023-12-12,RESOLVED,2024-01-02,Agent_333,MEDIUM,4,30,2026-01-10 21:04:43
PMLA-FB000156-SYN,PMLA-C000201-SYN,SUGGESTION,ONLINE_BANKING,EMAIL,RE: Suggestion - Case #79050,Synthetic feedback description for testing. Type: SUGGESTION. Category: FRAUD.,2024-08-23,RESOLVED,2024-09-16,Agent_526,MEDIUM,5,32,2026-01-10 21:04:43
PMLA-FB000157-SYN,PMLA-C001453-SYN,PRAISE,MOBILE_APP,PHONE,RE: Praise - Case #98027,Synthetic feedback description for testing. Type: PRAISE. Category: MOBILE_APP.,2023-09-01,RESOLVED,2023-09-06,Agent_650,MEDIUM,3,41,2026-01-10 21:04:43
PMLA-FB000158-SYN,PMLA-C000218-SYN,COMPLAINT,BRANCH_SERVICE,BRANCH,RE: Complaint - Case #46787,Synthetic feedback description for testing. Type: COMPLAINT. Category: ACCOUNT_SERVICE.,2023-03-16,ESCALATED,,Agent_266,LOW,,47,2026-01-10 21:04:43
PMLA-FB000159-SYN,PMLA-C000225-SYN,DISPUTE,ONLINE_BANKING,SOCIAL_MEDIA,RE: Dispute - Case #20861,Synthetic feedback description for testing. Type: DISPUTE. Category: CARD_SERVICE.,2024-09-18,CLOSED_NO_ACTION,2024-10-05,Agent_222,MEDIUM,,8,2026-01-10 21:04:43
PMLA-FB000160-SYN,PMLA-C000684-SYN,COMPLAINT,ONLINE_BANKING,MAIL,RE: Complaint - Case #10070,Synthetic feedback description for testing. Type: COMPLAINT. Category: CARD_SERVICE.,2023-12-13,RESOLVED,2024-01-07,Agent_835,LOW,3,4,2026-01-10 21:04:43
PMLA-FB000161-SYN,PMLA-C001032-SYN,DISPUTE,CARD_SERVICE,CHAT,RE: Dispute - Case #72518,Synthetic feedback description for testing. Type: DISPUTE. Category: CARD_SERVICE.,2023-01-08,RESOLVED,2023-02-02,Agent_410,LOW,5,72,2026-01-10 21:04:43
PMLA-FB000162-SYN,PMLA-C001269-SYN,SUGGESTION,FEES_CHARGES,BRANCH,RE: Suggestion - Case #17440,Synthetic feedback description for testing. Type: SUGGESTION. Category: MOBILE_APP.,2024-10-17,DUPLICATE,,Agent_889,LOW,,42,2026-01-10 21:04:43
PMLA-FB000163-SYN,PMLA-C001480-SYN,SUGGESTION,FRAUD,EMAIL,RE: Suggestion - Case #39771,Synthetic feedback description for testing. Type: SUGGESTION. Category: BRANCH_SERVICE.,2024-08-30,ESCALATED,,Agent_229,CRITICAL,,13,2026-01-10 21:04:43
PMLA-FB000164-SYN,PMLA-C000724-SYN,SUGGESTION,FEES_CHARGES,CHAT,RE: Suggestion - Case #67689,Synthetic feedback description for testing. Type: SUGGESTION. Category: OTHER.,2024-09-23,RESOLVED,2024-10-03,Agent_720,MEDIUM,5,55,2026-01-10 21:04:43
PMLA-FB000165-SYN,PMLA-C000145-SYN,PRAISE,ONLINE_BANKING,CHAT,RE: Praise - Case #69851,Synthetic feedback description for testing. Type: PRAISE. Category: FRAUD.,2024-08-06,DUPLICATE,,Agent_850,MEDIUM,,37,2026-01-10 21:04:43
PMLA-FB000166-SYN,PMLA-C001356-SYN,INQUIRY,ACCOUNT_SERVICE,CHAT,RE: Inquiry - Case #99967,Synthetic feedback description for testing. Type: INQUIRY. Category: LOAN_SERVICE.,2023-02-28,RESOLVED,2023-03-14,Agent_512,MEDIUM,2,9,2026-01-10 21:04:43
PMLA-FB000167-SYN,PMLA-C000542-SYN,COMPLAINT,OTHER,MAIL,RE: Complaint - Case #73634,Synthetic feedback description for testing. Type: COMPLAINT. Category: ONLINE_BANKING.,2023-01-24,RESOLVED,2023-02-10,Agent_899,LOW,1,49,2026-01-10 21:04:43
PMLA-FB000168-SYN,PMLA-C000315-SYN,COMPLAINT,ACCOUNT_SERVICE,PHONE,RE: Complaint - Case #48021,Synthetic feedback description for testing. Type: COMPLAINT. Category: LOAN_SERVICE.,2023-11-02,CLOSED_NO_ACTION,2023-11-22,Agent_686,MEDIUM,,48,2026-01-10 21:04:43
PMLA-FB000169-SYN,PMLA-C001277-SYN,SUGGESTION,FEES_CHARGES,PHONE,RE: Suggestion - Case #59681,Synthetic feedback description for testing. Type: SUGGESTION. Category: LOAN_SERVICE.,2024-06-30,PENDING,,Agent_568,MEDIUM,,1,2026-01-10 21:04:43
PMLA-FB000170-SYN,PMLA-C000482-SYN,SUGGESTION,OTHER,CHAT,RE: Suggestion - Case #76111,Synthetic feedback description for testing. Type: SUGGESTION. Category: FRAUD.,2024-10-09,RESOLVED,2024-10-19,Agent_622,HIGH,5,6,2026-01-10 21:04:43
PMLA-FB000171-SYN,PMLA-C000135-SYN,COMPLAINT,FRAUD,SOCIAL_MEDIA,RE: Complaint - Case #79553,Synthetic feedback description for testing. Type: COMPLAINT. Category: ACCOUNT_SERVICE.,2024-07-09,PENDING,,Agent_661,MEDIUM,,44,2026-01-10 21:04:43
PMLA-FB000172-SYN,PMLA-C000217-SYN,COMPLAINT,ONLINE_BANKING,MAIL,RE: Complaint - Case #56887,Synthetic feedback description for testing. Type: COMPLAINT. Category: LOAN_SERVICE.,2023-10-07,RESOLVED,2023-10-15,Agent_813,MEDIUM,3,54,2026-01-10 21:04:43
PMLA-FB000173-SYN,PMLA-C000891-SYN,PRAISE,MOBILE_APP,SOCIAL_MEDIA,RE: Praise - Case #74546,Synthetic feedback description for testing. Type: PRAISE. Category: ONLINE_BANKING.,2023-02-26,PENDING,,Agent_695,MEDIUM,,40,2026-01-10 21:04:43
PMLA-FB000174-SYN,PMLA-C001055-SYN,COMPLAINT,OTHER,EMAIL,RE: Complaint - Case #53791,Synthetic feedback description for testing. Type: COMPLAINT. Category: FEES_CHARGES.,2023-08-29,ESCALATED,,Agent_175,MEDIUM,,12,2026-01-10 21:04:43
PMLA-FB000175-SYN,PMLA-C000765-SYN,PRAISE,CARD_SERVICE,SOCIAL_MEDIA,RE: Praise - Case #15763,Synthetic feedback description for testing. Type: PRAISE. Category: MOBILE_APP.,2023-12-27,PENDING,,Agent_418,LOW,,36,2026-01-10 21:04:43
PMLA-FB000176-SYN,PMLA-C000527-SYN,SUGGESTION,ONLINE_BANKING,MAIL,RE: Suggestion - Case #70760,Synthetic feedback description for testing. Type: SUGGESTION. Category: FRAUD.,2024-11-03,PENDING,,Agent_747,MEDIUM,,9,2026-01-10 21:04:43
PMLA-FB000177-SYN,PMLA-C001449-SYN,COMPLAINT,MOBILE_APP,SOCIAL_MEDIA,RE: Complaint - Case #15299,Synthetic feedback description for testing. Type: COMPLAINT. Category: FEES_CHARGES.,2023-11-20,RESOLVED,2023-12-15,Agent_533,MEDIUM,4,72,2026-01-10 21:04:43
PMLA-FB000178-SYN,PMLA-C000278-SYN,PRAISE,CARD_SERVICE,BRANCH,RE: Praise - Case #15294,Synthetic feedback description for testing. Type: PRAISE. Category: FEES_CHARGES.,2024-08-12,RESOLVED,2024-08-15,Agent_928,LOW,2,38,2026-01-10 21:04:43
PMLA-FB000179-SYN,PMLA-C000677-SYN,COMPLAINT,FRAUD,EMAIL,RE: Complaint - Case #80907,Synthetic feedback description for testing. Type: COMPLAINT. Category: FRAUD.,2024-03-16,RESOLVED,2024-03-29,Agent_910,MEDIUM,1,27,2026-01-10 21:04:43
PMLA-FB000180-SYN,PMLA-C000363-SYN,SUGGESTION,OTHER,PHONE,RE: Suggestion - Case #37616,Synthetic feedback description for testing. Type: SUGGESTION. Category: FEES_CHARGES.,2023-04-14,RESOLVED,2023-04-26,Agent_710,MEDIUM,4,56,2026-01-10 21:04:43
PMLA-FB000181-SYN,PMLA-C000491-SYN,COMPLAINT,BRANCH_SERVICE,PHONE,RE: Complaint - Case #91230,Synthetic feedback description for testing. Type: COMPLAINT. Category: ONLINE_BANKING.,2024-01-21,PENDING,,Agent_330,MEDIUM,,31,2026-01-10 21:04:43
PMLA-FB000182-SYN,PMLA-C001063-SYN,INQUIRY,LOAN_SERVICE,MAIL,RE: Inquiry - Case #16303,Synthetic feedback description for testing. Type: INQUIRY. Category: LOAN_SERVICE.,2023-02-16,PENDING,,Agent_299,HIGH,,33,2026-01-10 21:04:43
PMLA-FB000183-SYN,PMLA-C000036-SYN,SUGGESTION,CARD_SERVICE,EMAIL,RE: Suggestion - Case #76330,Synthetic feedback description for testing. Type: SUGGESTION. Category: ONLINE_BANKING.,2024-04-27,RESOLVED,2024-04-30,Agent_365,MEDIUM,2,65,2026-01-10 21:04:43
PMLA-FB000184-SYN,PMLA-C000293-SYN,COMPLAINT,ACCOUNT_SERVICE,CHAT,RE: Complaint - Case #19614,Synthetic feedback description for testing. Type: COMPLAINT. Category: BRANCH_SERVICE.,2024-02-11,PENDING,,Agent_754,HIGH,,8,2026-01-10 21:04:43
PMLA-FB000185-SYN,PMLA-C000403-SYN,INQUIRY,FRAUD,PHONE,RE: Inquiry - Case #19406,Synthetic feedback description for testing. Type: INQUIRY. Category: MOBILE_APP.,2024-09-14,RESOLVED,2024-09-27,Agent_429,LOW,2,55,2026-01-10 21:04:43
